LineId,Content,EventId,EventTemplate
1,LDAP: Built with OpenLDAP LDAP SDK,E20,LDAP: Built with OpenLDAP LDAP SDK
2,LDAP: SSL support unavailable,E23,LDAP: SSL support unavailable
3,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),E18,suEXEC mechanism enabled (wrapper: <*>)
4,Digest: generating secret for digest authentication ...,E4,Digest: generating secret for digest authentication ...
5,Digest: done,E29,Digest: done
6,LDAP: Built with OpenLDAP LDAP SDK,E20,LDAP: Built with OpenLDAP LDAP SDK
7,LDAP: SSL support unavailable,E23,LDAP: SSL support unavailable
8,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
9,config.update(): Can't create channel.jni:jni,E21,config.update(): Can't create <*>
10,"env.createBean2(): Factory error creating vm: ( vm, )",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
11,config.update(): Can't create vm:,E21,config.update(): Can't create <*>
12,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
13,config.update(): Can't create worker.jni:onStartup,E21,config.update(): Can't create <*>
14,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
15,config.update(): Can't create worker.jni:onShutdown,E21,config.update(): Can't create <*>
16,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,E2,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.
17,mod_security/1.9dev2 configured,E25,mod_security/<*> configured
18,Apache/2.0.49 (Fedora) configured -- resuming normal operations,E8,Apache/<*> configured -- resuming normal operations
19,jk2_init() Found child 2330 in scoreboard slot 0,E15,jk2_init() Found child <*> in scoreboard slot <*>
20,jk2_init() Found child 2337 in scoreboard slot 7,E15,jk2_init() Found child <*> in scoreboard slot <*>
21,jk2_init() Found child 2332 in scoreboard slot 2,E15,jk2_init() Found child <*> in scoreboard slot <*>
22,jk2_init() Found child 2331 in scoreboard slot 1,E15,jk2_init() Found child <*> in scoreboard slot <*>
23,jk2_init() Found child 2333 in scoreboard slot 3,E15,jk2_init() Found child <*> in scoreboard slot <*>
